Name,Class,Rating,Total Rater,Facility,Price,Area
ibis Bandung Pasteur,3-star hotel,4.4,"(4,983)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 499,988",Bandung
The Dago Highland Resort and Spa,3-star hotel,4.2,"(1,878)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 588,207",Bandung
Tebu Hotel,3-star hotel,4.2,"(2,884)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 360,383",Bandung
Bali World Hotel,3-star hotel,4.2,"(3,027)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 385,862",Bandung
ibis Bandung Trans Studio,3-star hotel,4.5,"(10,897)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Bar', 'Restaurant', 'Room service']","IDR 599,491",Bandung
Gumilang Regency Hotel,3-star hotel,4.3,"(5,127)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 357,039",Bandung
Grand Sovia Hotel,3-star hotel,4.2,"(3,533)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 338,184",Bandung
Hotel Daily Inn Bandung,3-star hotel,4.5,(237),"['Free Wi-Fi', 'Pool', 'Restaurant']","IDR 218,392",Bandung
Bobobox Alun Alun,3-star hotel,4.7,(599),['Free Wi-Fi'],"IDR 188,874",Bandung
Summer Hills Hotel & Villas,3-star hotel,4.3,"(2,213)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 349,210",Bandung
Serela Waringin Hotel,3-star hotel,4,"(1,437)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 387,072",Bandung
Zest Hotel Sukajadi,3-star hotel,4.4,"(4,116)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 499,827",Bandung
The Silk At Dago,3-star hotel,4.3,(965),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 396,000",Bandung
Salis Hotel,3-star hotel,4.2,"(2,486)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 200,000",Bandung
Kimaya Braga Bandung by HARRIS,3-star hotel,4.4,"(4,991)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Bar', 'Restaurant']","IDR 650,124",Bandung
Grand Viveana Hotel,3-star hotel,4.4,(755),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 320,205",Bandung
Kuldesak Villas,-,4.5,(476),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service', 'Kitchen in rooms', 'Airport shuttle']","IDR 350,000",Bandung
Meize City Center,3-star hotel,4.2,"(3,007)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 276,017",Bandung
Hotel 88 Bandung Kopo,3-star hotel,4.3,"(2,231)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 371,029",Bandung
The Newton Hotel,3-star hotel,4.1,"(1,735)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 299,250",Bandung
Mutiara Hotel and Convention Bandung,3-star hotel,4.2,"(1,865)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 211,383",Bandung
Atlantic City Hotel,3-star hotel,4.3,"(2,783)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 383,903",Bandung
The Cherry Homes Hotel & Residence,3-star hotel,4.2,"(1,253)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Kitchen in some rooms', 'Airport shuttle']","IDR 199,424",Bandung
"Vue Palace, ARTOTEL Curated",3-star hotel,4.4,"(1,859)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Bar', 'Restaurant']","IDR 353,600",Bandung
d'best Hotel,3-star hotel,4.2,"(1,747)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 290,098",Bandung
Verona Palace Hotel,3-star hotel,4.3,"(1,086)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 328,116",Bandung
favehotel Premier - Cihampelas,3-star hotel,4.3,"(4,355)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 376,916",Bandung
Sentra Inn Bandung,3-star hotel,4.3,(357),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Breakfast', 'Child-friendly']","IDR 140,745",Bandung
Promenade Hotel Bandung,3-star hotel,4,"(1,261)","['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 369,609",Bandung
V Hotel & Residence,3-star hotel,4.3,"(3,976)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 334,280",Bandung
Malaka Hotel,3-star hotel,4.4,"(3,263)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 665,529",Bandung
Kedaton Hotel,3-star hotel,4.3,"(2,545)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 274,592",Bandung
FOX HARRIS Lite Metro Indah Bandung,3-star hotel,4.3,"(3,282)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar', 'Restaurant']","IDR 299,816",Bandung
Hotel California,3-star hotel,4.5,"(2,510)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 430,206",Bandung
Cemerlang Hotel,3-star hotel,4.3,"(1,592)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 314,813",Bandung
Janévalla Bandung,3-star hotel,4.5,"(3,275)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant']","IDR 754,000",Bandung
YELLO Hotel Paskal - Bandung,3-star hotel,4.6,"(2,345)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 646,053",Bandung
New Hemangini Hotel Bandung,3-star hotel,4.3,"(2,192)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Restaurant', 'Full-service laundry', 'Accessible']","IDR 546,930",Bandung
Summerbird,3-star hotel,4.5,"(1,338)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 479,550",Bandung
Collection O 10 Sweet Karina,3-star hotel,4.2,(886),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 184,850",Bandung
Ottenville Boutique Hotel,3-star hotel,4.3,(544),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 299,225",Bandung
Patra Bandung Hotel,3-star hotel,4.5,"(2,391)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 508,135",Bandung
ibis Bandung Pasteur,3-star hotel,4.4,"(4,983)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 457,489",Bandung
Hotel Santika Bandung,3-star hotel,4.4,"(3,142)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 767,531",Bandung
Grand Pacific Hotel,3-star hotel,4.3,"(2,085)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 305,306",Bandung
Kytos Hotel,3-star hotel,4.3,"(1,914)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 417,964",Bandung
Clove Hotel Bandung,3-star hotel,4.3,"(5,113)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 602,293",Bandung
Hotel Santika Pasir Koja,3-star hotel,4.6,(970),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 459,759",Bandung
Cherry Homes Express II Hotel,3-star hotel,4.3,(261),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 230,964",Bandung
New Sany Rosa Hotel,3-star hotel,4.3,"(2,180)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 358,754",Bandung
De Sofia Hotel,3-star hotel,4.3,"(1,370)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Bar', 'Restaurant', 'Room service']","IDR 380,630",Bandung
De'rain Hotel,3-star hotel,4.3,"(2,078)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 386,523",Bandung
Fabu Hotel,3-star hotel,4.2,"(1,795)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 329,202",Bandung
Ivory Hotel,3-star hotel,4.5,"(1,836)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 561,097",Bandung
The Naripan Hotel,3-star hotel,4.1,"(1,577)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 306,672",Bandung
Rooms Inc BTC Pasteur,3-star hotel,4.3,"(1,253)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 388,504",Bandung
Hotel Kumala,3-star hotel,4.3,(652),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 259,366",Bandung
Noor Hotel Bandung,3-star hotel,4.6,"(1,675)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 895,331",Bandung
Hotel Dafam Rio,3-star hotel,4.3,(988),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 435,789",Bandung
Accordia Dago,3-star hotel,4.2,(550),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 351,456",Bandung
M Premiere Hotel Bandung,3-star hotel,4.4,(820),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 538,522",Bandung
Cinnamon Hotel,3-star hotel,4.7,"(1,347)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 581,826",Bandung
Capital O 1044 Diemdi Hotel,3-star hotel,4.2,(309),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service']","IDR 142,560",Bandung
d'Batoe Boutique Hotel,3-star hotel,4.2,(892),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0,Bandung
Oasis Siliwangi Hotel Bandung,3-star hotel,4.3,(807),"['Free breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 658,877",Bandung
Asoka Hotel Bandung,3-star hotel,4.4,(328),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 207,391",Bandung
"Sukajadi Hotel, Convention and Gallery",3-star hotel,4.2,"(2,473)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Kitchen in some rooms']","IDR 202,195",Bandung
Moxy Bandung,3-star hotel,4.5,"(2,975)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant', 'Room service']","IDR 912,320",Bandung
Grand Asrilia Hotel Convention & Restaurant,3-star hotel,4.4,"(1,496)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 539,609",Bandung
NEO Dipatiukur Bandung,3-star hotel,4.5,"(3,718)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 469,390",Bandung
